States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,4,4,10,10,23.0,27.0,32.0,38.0,44.0,45.0,49.0,64.0,66.0,70.0,80.0,92.0,93.0,99.0,114.0,118.0,133.0,148.0,153.0,157.0,163.0,183.0,196.0,202.0,209.0,209.0,219.0,228.0,242.0,256.0,272.0,289.0
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,2,2,3,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5,6,8,13,15,17,20,24.0,29.0,32.0,41.0,52.0,64.0,65.0,73.0,80.0,89.0,97.0,108.0,115.0,122.0,131.0,142.0,150.0,169.0,180.0,184.0,191.0,208.0,231.0,249.0,266.0,273.0,275.0,275.0,275.0,308.0,320.0,330.0
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,3,5,6,7,8.0,10.0,12.0,12.0,14.0,16.0,16.0,18.0,18.0,21.0,21.0,25.0,27.0,29.0,32.0,33.0,37.0,37.0,38.0,39.0,41.0,42.0,42.0,45.0,47.0,48.0,51.0,51.0,57.0,57.0,61.0,64.0
California,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,4.0,4.0,5.0,6.0,7.0,12.0,13.0,18.0,23.0,24.0,30.0,39.0,50,65,81,94,110,124,146,173.0,199.0,238.0,265.0,289.0,348.0,380.0,432.0,495.0,544.0,583.0,604.0,640.0,714.0,767.0,860.0,956.0,1037.0,1140.0,1177.0,1225.0,1282.0,1421.0,1533.0,1621.0,1689.0,1725.0,1779.0,1864.0,1946.0,2031.0,2126.0
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,6.0,7.0,8,16,19,27,31,47,47,69.0,69.0,80.0,97.0,111.0,140.0,150.0,179.0,193.0,193.0,226.0,250.0,289.0,306.0,327.0,328.0,355.0,372.0,389.0,420.0,420.0,483.0,506.0,552.0,674.0,684.0,688.0,706.0,736.0,766.0,777.0,821.0
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,8.0,10.0,12,19,21,27,33,34,36,69.0,85.0,112.0,131.0,165.0,189.0,206.0,277.0,326.0,380.0,448.0,494.0,554.0,602.0,671.0,868.0,971.0,1036.0,1086.0,1127.0,1331.0,1423.0,1544.0,1639.0,1767.0,1865.0,1924.0,2012.0,2087.0,2169.0,2257.0,2339.0
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,2,5,6,6,10.0,11.0,12.0,14.0,14.0,14.0,15.0,16.0,19.0,23.0,32.0,33.0,35.0,41.0,43.0,46.0,55.0,61.0,67.0,67.0,72.0,82.0,89.0,92.0,100.0,112.0,120.0,125.0,137.0,144.0,152.0,159.0
Diamond Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2,2,3,3,4,5,9,9.0,9.0,12.0,15.0,21.0,22.0,24.0,22.0,27.0,32.0,38.0,47.0,50.0,52.0,67.0,72.0,81.0,86.0,91.0,96.0,105.0,112.0,127.0,139.0,153.0,165.0,178.0,185.0,190.0,205.0,224.0,231.0
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,13.0,13.0,18.0,18,23,29,35,54,56,63,85.0,87.0,164.0,170.0,195.0,221.0,236.0,283.0,309.0,354.0,390.0,438.0,461.0,499.0,571.0,596.0,668.0,725.0,748.0,774.0,822.0,867.0,893.0,987.0,1046.0,1055.0,1075.0,1088.0,1171.0,1218.0,1268.0,1314.0
